data_id,event_date,inter1,inter2
7020747,20180228,8,2
5869515,20180228,1,0
7020748,20180228,2,2
5869521,20180228,1,0
6123736,20180228,2,7
5863130,20180228,1,0
6076128,20180228,2,7
5863137,20180228,2,7
5869539,20180228,1,0
5843940,20180228,2,1
5863140,20180228,3,0
5866214,20180228,1,7
6078439,20180228,8,0
5863150,20180228,3,0
6078190,20180228,8,0
5689841,20180228,2,2
5863155,20180228,2,2
5844729,20180228,1,0
5869305,20180228,8,7
5689853,20180228,1,0
5907967,20180228,1,0
6130687,20180228,8,0
5867275,20180227,2,2
6079245,20180227,2,2
5850642,20180227,2,0
6124307,20180227,3,7
6130715,20180227,1,0
5840163,20180227,2,1
5860648,20180227,1,0
5851948,20180227,2,2
5860657,20180227,1,0
5858867,20180227,1,0
5858868,20180227,1,7
6129716,20180227,1,0
5848375,20180227,1,7
5855291,20180227,2,0
6125116,20180227,2,7
5689916,20180227,2,0
6082624,20180227,1,0
5689923,20180227,2,2
5858885,20180227,2,0
5860683,20180227,2,0
5860685,20180227,2,0
6082637,20180227,8,1
5854542,20180227,2,0
5854543,20180227,6,0
5850450,20180227,2,0
5865813,20180227,2,2
6039382,20180227,1,0
6039383,20180227,1,0
6039384,20180227,1,7
5852760,20180227,2,2
6039385,20180227,1,7
6039386,20180227,1,7
6039387,20180227,1,7
6039388,20180227,1,2
6039389,20180227,1,7
6039390,20180227,1,7
6039391,20180227,1,2
5852767,20180227,1,0
6039392,20180227,8,7
6039393,20180227,1,7
6039394,20180227,1,7
6039396,20180227,2,2
6039397,20180227,1,7
6039398,20180227,1,7
5839720,20180227,1,0
6039400,20180227,8,7
6039401,20180227,1,7
6082154,20180227,2,2
5852780,20180227,1,0
6130030,20180227,1,7
6124148,20180227,1,7
5841270,20180227,1,0
5850233,20180227,1,0
5850234,20180227,1,0
5840508,20180227,1,2
5850236,20180227,3,7
6129792,20180227,1,7
5850244,20180227,1,0
5852811,20180227,2,0
5861516,20180227,2,2
5850255,20180227,3,7
