data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction
6411099,231,ETH3288,3288,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6763357,231,ETH3237,3237,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411102,231,ETH3297,3297,20160806,2016,1,Protests,Excessive force against protesters,Police Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6763359,231,ETH3295,3295,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411103,231,ETH3298,3298,20160806,2016,1,Protests,Excessive force against protesters,Police Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411105,231,ETH3236,3236,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6410338,231,ETH3214,3214,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411106,231,ETH3249,3249,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6411107,231,ETH3251,3251,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6411108,231,ETH3252,3252,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6411114,231,ETH3266,3266,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411115,231,ETH3267,3267,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411371,231,ETH3218,3218,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411116,231,ETH3268,3268,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
